PLAYER,TEAM,POSITION,AGE,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,GP,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W,SALARY_MILLIONS,SALARY_CLASS
Mike Conley,MEM,PG,0.4761904761904763,0.6504854368932039,0.5948275862068966,0.6133333333333333,0.6097560975609757,0.61,0.408,0.43298969072164956,0.4565217391304347,0.4970000000000001,0.6228571428571429,0.5,0.48623853211009166,0.8590000000000001,0.1,0.3157894736842105,0.2734375,0.5625,0.65,0.11538461538461536,0.4035087719298245,0.4615384615384616,0.6464968152866242,0.8375,0.8707865168539328,0.7777777777777778,0.37424547283702214,0.737017310252996,0.5635164835164835,0.7154471544715447,0.32039268183846525,0.5303030303030303,0.8570966698997736,2
Brook Lopez,BKN,C,0.4285714285714286,0.7184466019417476,0.6379310344827587,0.6319999999999999,0.4390243902439025,0.52,0.34600000000000003,0.577319587628866,0.559782608695652,0.536,0.6068571428571429,0.4239130434782609,0.4495412844036697,0.81,0.4,0.39999999999999997,0.421875,0.20535714285714285,0.25,0.6538461538461537,0.43859649122807015,0.6666666666666667,0.6464968152866242,0.9125,0.7696629213483148,0.4982905982905983,0.4496981891348089,0.5692410119840213,0.4356043956043956,0.5691056910569106,0.7394020526550649,0.30303030303030304,0.6834788231490463,2
Goran Dragic,MIA,PG,0.5238095238095237,0.7087378640776699,0.6293103448275863,0.6333333333333333,0.39024390243902446,0.4,0.405,0.5876288659793815,0.608695652173913,0.499,0.6022857142857143,0.44565217391304346,0.4770642201834862,0.79,0.2,0.3157894736842105,0.296875,0.5178571428571429,0.6,0.07692307692307693,0.5087719298245613,0.6923076923076924,0.6401273885350318,0.8875000000000001,0.8848314606741575,0.5957264957264957,0.2313883299798793,0.5006657789613849,0.3789010989010989,0.5934959349593496,0.47746541722445324,0.6060606060606061,0.5127707727125768,2
Joel Embiid,PHI,C,0.1428571428571428,0.6310679611650485,0.560344827586207,0.6213333333333333,0.29268292682926833,0.32000000000000006,0.3670000000000001,0.5463917525773196,0.5706521739130433,0.495,0.5805714285714285,0.673913043478261,0.7247706422018348,0.7829999999999999,0.5,0.6210526315789474,0.609375,0.1875,0.45,0.9615384615384615,0.6666666666666666,0.9230769230769232,0.6369426751592356,0.3625,0.651685393258427,0.3299145299145299,0.6227364185110664,0.5525965379494008,0.21010989010989012,0.7723577235772358,0.5707273538598838,0.19696969696969696,0.15518913676042678,1
Jabari Parker,MIL,PF,0.09523809523809534,0.7572815533980582,0.6551724137931035,0.6533333333333333,0.3170731707317074,0.35000000000000003,0.365,0.6701030927835052,0.6684782608695651,0.525,0.6057142857142858,0.3478260869565218,0.39449541284403666,0.743,0.375,0.4842105263157894,0.484375,0.25,0.5,0.15384615384615385,0.3157894736842105,0.5641025641025642,0.6337579617834396,0.6125,0.8904494382022473,0.44957264957264953,0.2323943661971831,0.3874833555259654,0.21582417582417585,0.556910569105691,0.4912985274431061,0.33333333333333337,0.1726479146459748,1
Marc Gasol,MEM,C,0.6190476190476191,0.6990291262135923,0.6422413793103449,0.612,0.34146341463414637,0.36000000000000004,0.388,0.5979381443298969,0.6467391304347825,0.48,0.5748571428571428,0.41304347826086957,0.4128440366972477,0.8370000000000001,0.2,0.5789473684210527,0.4921875,0.4107142857142857,0.45,0.5,0.3859649122807018,0.5897435897435898,0.6146496815286624,0.9,0.8988764044943822,0.5376068376068376,0.4668008048289739,0.611185086551265,0.48395604395604397,0.6788617886178862,0.3110218652387329,0.6060606060606061,0.6834788231490463,2
Kevin Love,CLE,PF,0.4285714285714286,0.6019417475728155,0.5905172413793104,0.5693333333333335,0.5853658536585367,0.65,0.373,0.3917525773195876,0.4239130434782608,0.471,0.5828571428571429,0.4673913043478261,0.4495412844036697,0.871,0.625,0.9052631578947368,0.8671875,0.16964285714285715,0.45,0.15384615384615385,0.3508771929824561,0.5384615384615385,0.5987261146496815,0.725,0.8202247191011237,0.6153846153846154,0.6217303822937625,0.7743009320905461,0.5309890109890111,0.6666666666666667,0.544399821508255,0.6060606060606061,0.6834788231490463,2
Zach LaVine,MIN,SG,0.09523809523809534,0.6699029126213593,0.6163793103448276,0.612,0.6341463414634148,0.66,0.387,0.45360824742268047,0.4510869565217391,0.515,0.6217142857142858,0.27173913043478265,0.2752293577981651,0.836,0.1,0.3157894736842105,0.265625,0.26785714285714285,0.45,0.07692307692307693,0.3157894736842105,0.5641025641025642,0.5955414012738853,0.5625,0.9831460674157306,0.32564102564102565,0.1579476861167002,0.24167776298268975,0.10945054945054945,0.45121951219512196,0.3980365908076746,0.24242424242424243,0.07145166505011316,1
Rudy Gay,SAC,SF,0.5238095238095237,0.6504854368932039,0.5991379310344828,0.6066666666666667,0.34146341463414637,0.38,0.3720000000000001,0.5463917525773196,0.5869565217391303,0.483,0.5737142857142857,0.4239130434782609,0.4220183486238531,0.855,0.3,0.5473684210526316,0.4921875,0.25,0.75,0.34615384615384615,0.43859649122807015,0.6666666666666667,0.589171974522293,0.35,0.8876404494382023,0.3606837606837607,0.591549295774648,0.5559254327563249,0.23824175824175825,0.573170731707317,0.4734493529674251,0.16666666666666669,0.4300032331070159,2
Dwyane Wade,CHI,SG,0.7619047619047619,0.6699029126213593,0.6508620689655173,0.5786666666666667,0.19512195121951223,0.24,0.31,0.6391752577319588,0.7228260869565216,0.456,0.5222857142857142,0.4021739130434783,0.4311926605504587,0.794,0.275,0.3684210526315789,0.3515625,0.3392857142857143,0.7,0.26923076923076916,0.4035087719298245,0.4871794871794872,0.5764331210191083,0.725,0.7780898876404495,0.3401709401709402,0.34808853118712274,0.37882822902796276,0.21274725274725276,0.556910569105691,0.4792503346720216,0.4393939393939394,0.7491108955706434,2
Danilo Gallinari,DEN,SF,0.4285714285714286,0.5145631067961165,0.478448275862069,0.596,0.48780487804878053,0.51,0.389,0.3402061855670103,0.35869565217391297,0.491,0.6068571428571429,0.5978260869565218,0.5596330275229356,0.902,0.15,0.47368421052631576,0.40625,0.1875,0.3,0.07692307692307693,0.22807017543859648,0.3846153846153847,0.5732484076433121,0.7625000000000001,0.8904494382022473,0.6068376068376068,0.4154929577464789,0.6311584553928096,0.47076923076923083,0.5284552845528455,0.5832217759928606,0.4696969696969697,0.4856126737795021,2
Paul Millsap,ATL,PF,0.5714285714285714,0.6019417475728155,0.5732758620689656,0.5893333333333333,0.26829268292682934,0.35000000000000003,0.311,0.5257731958762887,0.5652173913043477,0.486,0.5497142857142857,0.48913043478260876,0.5412844036697247,0.768,0.4,0.6421052631578946,0.6015625,0.3303571428571429,0.65,0.34615384615384615,0.4035087719298245,0.6923076923076924,0.570063694267516,0.8375,0.8932584269662923,0.48376068376068376,0.7313883299798793,0.7443408788282291,0.607912087912088,0.5772357723577236,0.5693886657742078,0.6060606060606061,0.6479146459747818,2
Chris Paul,LAC,PG,0.5714285714285714,0.5922330097087378,0.5215517241379312,0.6346666666666666,0.48780487804878053,0.5,0.411,0.422680412371134,0.4184782608695652,0.518,0.6342857142857143,0.41304347826086957,0.39449541284403666,0.892,0.175,0.4526315789473684,0.390625,0.8214285714285714,1.0,0.038461538461538464,0.42105263157894735,0.6153846153846154,0.570063694267516,0.7375,0.8230337078651687,0.8196581196581196,0.6720321931589537,0.966711051930759,0.6945054945054946,0.8048780487804877,0.4788041053101293,0.6515151515151515,0.7384416424183641,2
Kristaps Porzingis,NY,PF,0.09523809523809534,0.6504854368932039,0.6077586206896552,0.6,0.41463414634146345,0.48,0.35700000000000004,0.5154639175257733,0.5434782608695651,0.493,0.5794285714285714,0.32608695652173914,0.34862385321100914,0.7859999999999999,0.425,0.5789473684210527,0.5625,0.13392857142857142,0.35,0.7692307692307692,0.3157894736842105,0.9487179487179489,0.570063694267516,0.8,0.8595505617977529,0.3521367521367521,0.585513078470825,0.5452729693741678,0.38945054945054947,0.4959349593495935,0.521642124051763,0.3939393939393939,0.13870029097963144,1
Derrick Rose,NY,PG,0.4285714285714286,0.6990291262135923,0.6250000000000001,0.6279999999999999,0.04878048780487806,0.09000000000000001,0.217,0.7216494845360826,0.7663043478260868,0.487,0.545142857142857,0.3804347826086957,0.36697247706422015,0.8740000000000001,0.25,0.29473684210526313,0.296875,0.3928571428571429,0.35,0.11538461538461536,0.4035087719298245,0.33333333333333337,0.5668789808917197,0.775,0.8511235955056181,0.38803418803418804,0.1569416498993964,0.28961384820239683,0.1534065934065934,0.5203252032520325,0.5234270414993305,0.3939393939393939,0.6883284836728095,2
Dennis Schroder,ATL,PG,0.19047619047619047,0.6699029126213593,0.6293103448275863,0.6013333333333333,0.3170731707317074,0.37000000000000005,0.34,0.5876288659793815,0.6195652173913042,0.487,0.5634285714285714,0.30434782608695654,0.2935779816513761,0.855,0.125,0.2736842105263158,0.2421875,0.5625,0.45,0.07692307692307693,0.5789473684210525,0.4871794871794872,0.5636942675159236,0.9625,0.8230337078651687,0.40512820512820513,0.1167002012072435,0.2762982689747004,0.14901098901098903,0.540650406504065,0.5738509593931274,0.6363636363636364,0.08664726802457161,1
LaMarcus Aldridge,SA,PF,0.5714285714285714,0.6699029126213593,0.5948275862068966,0.6359999999999999,0.07317073170731708,0.08000000000000002,0.411,0.6804123711340206,0.7391304347826085,0.48,0.5577142857142857,0.3369565217391305,0.34862385321100914,0.812,0.6,0.5157894736842106,0.5703125,0.16964285714285715,0.3,0.46153846153846145,0.24561403508771926,0.5641025641025642,0.5445859872611465,0.875,0.8483146067415731,0.37094017094017095,0.5,0.5033288948069241,0.3564835164835165,0.5609756097560975,0.31280678268630036,0.7878787878787878,0.664403491755577,2
Evan Fournier,ORL,SG,0.23809523809523814,0.5825242718446602,0.5560344827586208,0.5853333333333333,0.4634146341463415,0.53,0.35600000000000004,0.422680412371134,0.44565217391304346,0.491,0.5805714285714285,0.3586956521739131,0.3761467889908256,0.805,0.15,0.2526315789473684,0.2421875,0.26785714285714285,0.5,0.038461538461538464,0.3684210526315789,0.6666666666666667,0.5414012738853503,0.8250000000000001,0.8623595505617979,0.3846153846153846,0.27665995975855134,0.36617842876165113,0.22901098901098904,0.4105691056910569,0.541722445336903,0.3484848484848485,0.5486582605884255,2
